EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, SAENTIS (STAID: 243).
Blended and updated with sources: 100755 906680 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100755,19010101,   61,    0
100755,19010102,    6,    0
100755,19010103,    0,    0
100755,19010104,    0,    0
100755,19010105,    0,    0
100755,19010106,    0,    0
100755,19010107,    0,    0
100755,19010108,    0,    0
100755,19010109,    0,    0
100755,19010110,    1,    0
100755,19010111,  134,    0
100755,19010112,    0,    0
100755,19010113,    0,    0
100755,19010114,    0,    0
100755,19010115,    0,    0
100755,19010116,    0,    0
100755,19010117,    0,    0
100755,19010118,    0,    0
100755,19010119,    0,    0
100755,19010120,   26,    0
100755,19010121,  158,    0
100755,19010122,    0,    0
100755,19010123,    0,    0
100755,19010124,   10,    0
100755,19010125,  203,    0
100755,19010126,  113,    0
100755,19010127,  254,    0
100755,19010128,  149,    0
100755,19010129,   83,    0
100755,19010130,    7,    0
100755,19010131,    0,    0
100755,19010201,    8,    0
100755,19010202,   34,    0
100755,19010203,    0,    0
100755,19010204,    0,    0
100755,19010205,   25,    0
100755,19010206,    7,    0
100755,19010207,    6,    0
100755,19010208,    6,    0
100755,19010209,    0,    0
100755,19010210,    4,    0
100755,19010211,   69,    0
100755,19010212,   13,    0
100755,19010213,   96,    0
100755,19010214,    0,    0
100755,19010215,    0,    0
100755,19010216,   32,    0
100755,19010217,   43,    0
100755,19010218,   11,    0
100755,19010219,    0,    0
100755,19010220,    0,    0
100755,19010221,    0,    0
100755,19010222,    0,    0
100755,19010223,    4,    0
100755,19010224,    2,    0
100755,19010225,    0,    0
100755,19010226,    0,    0
100755,19010227,    0,    0
100755,19010228,   61,    0
100755,19010301,   51,    0
100755,19010302,   56,    0
100755,19010303,  368,    0
100755,19010304,  281,    0
100755,19010305,  357,    0
100755,19010306,   38,    0
100755,19010307,   58,    0
100755,19010308,    0,    0
100755,19010309,    0,    0
100755,19010310,   28,    0
100755,19010311,   34,    0
100755,19010312,   40,    0
100755,19010313,    0,    0
100755,19010314,    0,    0
100755,19010315,    0,    0
100755,19010316,    0,    0
100755,19010317,    0,    0
100755,19010318,    0,    0
100755,19010319,    0,    0
100755,19010320,    0,    0
100755,19010321,  395,    0
100755,19010322,    0,    0
