EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, ZUERICH/FLUNTERN (STAID: 244).
Blended and updated with sources: 100759 906660 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100759,19010101,   10,    0
100759,19010102,    0,    0
100759,19010103,    0,    0
100759,19010104,    0,    0
100759,19010105,    0,    0
100759,19010106,    0,    0
100759,19010107,    0,    0
100759,19010108,    0,    0
100759,19010109,    0,    0
100759,19010110,    0,    0
100759,19010111,    1,    0
100759,19010112,    0,    0
100759,19010113,    0,    0
100759,19010114,    0,    0
100759,19010115,    0,    0
100759,19010116,    0,    0
100759,19010117,    0,    0
100759,19010118,    0,    0
100759,19010119,    0,    0
100759,19010120,   37,    0
100759,19010121,    8,    0
100759,19010122,    2,    0
100759,19010123,    1,    0
100759,19010124,    0,    0
100759,19010125,    0,    0
100759,19010126,   87,    0
100759,19010127,  131,    0
100759,19010128,   70,    0
100759,19010129,   41,    0
100759,19010130,    0,    0
100759,19010131,    0,    0
100759,19010201,   24,    0
100759,19010202,   65,    0
100759,19010203,    0,    0
100759,19010204,    0,    0
100759,19010205,   29,    0
100759,19010206,    1,    0
100759,19010207,   15,    0
100759,19010208,    8,    0
100759,19010209,    0,    0
100759,19010210,    0,    0
100759,19010211,   22,    0
100759,19010212,    2,    0
100759,19010213,    5,    0
100759,19010214,    0,    0
100759,19010215,    0,    0
100759,19010216,   47,    0
100759,19010217,   57,    0
100759,19010218,    7,    0
100759,19010219,    5,    0
100759,19010220,    0,    0
100759,19010221,    1,    0
100759,19010222,    0,    0
100759,19010223,    0,    0
100759,19010224,    0,    0
100759,19010225,    0,    0
100759,19010226,    0,    0
100759,19010227,    0,    0
100759,19010228,   10,    0
100759,19010301,   54,    0
100759,19010302,   87,    0
100759,19010303,   48,    0
100759,19010304,   26,    0
100759,19010305,   35,    0
100759,19010306,   15,    0
100759,19010307,    4,    0
100759,19010308,    0,    0
100759,19010309,    0,    0
100759,19010310,    0,    0
100759,19010311,    0,    0
100759,19010312,   30,    0
100759,19010313,    0,    0
100759,19010314,    0,    0
100759,19010315,    0,    0
100759,19010316,    0,    0
100759,19010317,    0,    0
100759,19010318,    0,    0
100759,19010319,    0,    0
100759,19010320,  266,    0
100759,19010321,   34,    0
100759,19010322,    1,    0
100759,19010323,   20,    0
100759,19010324,    1,    0
100759,19010325,    7,    0
100759,19010326,   49,    0
100759,19010327,    1,    0
100759,19010328,   32,    0
100759,19010329,    0,    0
100759,19010330,    0,    0
100759,19010331,    0,    0
100759,19010401,   33,    0
100759,19010402,    0,    0
100759,19010403,    0,    0
100759,19010404,   12,    0
100759,19010405,  468,    0
100759,19010406,   49,    0
100759,19010407,  270,    0
100759,19010408,   40,    0
100759,19010409,  246,    0
100759,19010410,  151,    0
100759,19010411,   31,    0
100759,19010412,  213,    0
100759,19010413,   49,    0
100759,19010414,  158,    0
100759,19010415,  128,    0
100759,19010416,   31,    0
100759,19010417,   18,    0
100759,19010418,    1,    0
100759,19010419,    0,    0
100759,19010420,    0,    0
100759,19010421,    0,    0
100759,19010422,    0,    0
100759,19010423,    0,    0
100759,19010424,    0,    0
100759,19010425,    0,    0
100759,19010426,    0,    0
100759,19010427,    0,    0
100759,19010428,   32,    0
100759,19010429,    8,    0
100759,19010430,    0,    0
100759,19010501,    0,    0
100759,19010502,    0,    0
100759,19010503,   13,    0
100759,19010504,    0,    0
100759,19010505,    0,    0
100759,19010506,   66,    0
100759,19010507,   18,    0
100759,19010508,   26,    0
100759,19010509,    3,    0
100759,19010510,   17,    0
100759,19010511,    9,    0
100759,19010512,    0,    0
100759,19010513,    0,    0
100759,19010514,    0,    0
100759,19010515,    0,    0
100759,19010516,    0,    0
100759,19010517,    0,    0
100759,19010518,    0,    0
100759,19010519,    0,    0
100759,19010520,    0,    0
100759,19010521,    0,    0
100759,19010522,    0,    0
100759,19010523,    0,    0
100759,19010524,    0,    0
100759,19010525,    0,    0
100759,19010526,   64,    0
100759,19010527,    0,    0
100759,19010528,    0,    0
100759,19010529,   22,    0
100759,19010530,    0,    0
100759,19010531,    0,    0
100759,19010601,    0,    0
100759,19010602,    1,    0
100759,19010603,    2,    0
100759,19010604,  103,    0
100759,19010605,    0,    0
100759,19010606,    0,    0
100759,19010607,    0,    0
100759,19010608,   12,    0
100759,19010609,   25,    0
100759,19010610,   85,    0
100759,19010611,   12,    0
100759,19010612,    0,    0
100759,19010613,   13,    0
100759,19010614,  221,    0
100759,19010615,  427,    0
100759,19010616,   47,    0
100759,19010617,  133,    0
100759,19010618,   58,    0
100759,19010619,   33,    0
100759,19010620,    0,    0
100759,19010621,    0,    0
100759,19010622,    0,    0
100759,19010623,  136,    0
100759,19010624,  150,    0
100759,19010625,    0,    0
100759,19010626,    0,    0
100759,19010627,    0,    0
100759,19010628,   16,    0
100759,19010629,    0,    0
100759,19010630,  165,    0
100759,19010701,  131,    0
100759,19010702,  113,    0
100759,19010703,    0,    0
100759,19010704,  157,    0
100759,19010705,    0,    0
100759,19010706,    2,    0
100759,19010707,    0,    0
100759,19010708,    0,    0
100759,19010709,    0,    0
100759,19010710,    0,    0
100759,19010711,    0,    0
100759,19010712,    0,    0
100759,19010713,    0,    0
100759,19010714,    0,    0
100759,19010715,    0,    0
100759,19010716,    0,    0
100759,19010717,    0,    0
100759,19010718,    0,    0
100759,19010719,    0,    0
100759,19010720,    0,    0
100759,19010721,    8,    0
100759,19010722,  103,    0
100759,19010723,   72,    0
100759,19010724,    1,    0
100759,19010725,   16,    0
100759,19010726,   36,    0
100759,19010727,  141,    0
100759,19010728,   87,    0
100759,19010729,   55,    0
100759,19010730,    1,    0
100759,19010731,   15,    0
100759,19010801,   82,    0
100759,19010802,  317,    0
100759,19010803,    0,    0
100759,19010804,    0,    0
100759,19010805,    2,    0
100759,19010806,   49,    0
100759,19010807,    0,    0
100759,19010808,    0,    0
100759,19010809,    0,    0
100759,19010810,   67,    0
100759,19010811,   56,    0
100759,19010812,  169,    0
100759,19010813,    5,    0
100759,19010814,    0,    0
100759,19010815,   17,    0
100759,19010816,   10,    0
100759,19010817,    0,    0
100759,19010818,    0,    0
100759,19010819,    0,    0
100759,19010820,    0,    0
100759,19010821,    0,    0
100759,19010822,    0,    0
100759,19010823,    0,    0
100759,19010824,    0,    0
100759,19010825,   58,    0
100759,19010826,  119,    0
100759,19010827,    6,    0
100759,19010828,   33,    0
100759,19010829,    0,    0
100759,19010830,    0,    0
100759,19010831,    0,    0
100759,19010901,   10,    0
100759,19010902,    0,    0
100759,19010903,   29,    0
100759,19010904,   79,    0
100759,19010905,    9,    0
100759,19010906,   15,    0
100759,19010907,    1,    0
100759,19010908,    0,    0
100759,19010909,   34,    0
100759,19010910,  162,    0
100759,19010911,  120,    0
100759,19010912,  125,    0
100759,19010913,  106,    0
100759,19010914,   27,    0
100759,19010915,    1,    0
100759,19010916,    1,    0
